E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
319.54,2049.81,147.67,5.61,-8.67,-13.66,697.78,118.16,666.72,98.02,49.91,95.00
319.65,2049.89,147.46,4.72,-8.48,-14.55,686.46,120.28,674.73,98.02,49.91,95.00
319.74,2049.96,147.21,3.45,-8.18,-16.00,647.94,117.15,653.67,97.08,49.91,90.44
319.81,2050.04,146.95,2.08,-7.86,-17.46,616.16,113.56,643.56,97.08,49.91,91.97
319.85,2050.13,146.66,0.45,-7.58,-18.73,598.14,107.96,621.02,98.66,49.91,91.97
319.86,2050.22,146.36,-1.17,-7.25,-19.94,592.97,103.63,591.30,93.16,49.91,84.35
319.85,2050.32,146.03,-2.59,-7.08,-21.07,595.45,104.34,578.50,91.50,49.91,84.35
319.83,2050.42,145.69,-3.48,-6.71,-22.10,589.63,102.31,565.09,91.50,49.91,84.35
319.79,2050.52,145.34,-4.09,-6.44,-22.77,576.44,100.63,568.79,91.50,49.91,84.35
319.76,2050.63,144.98,-4.18,-6.36,-23.54,573.47,99.60,562.21,91.50,49.91,84.35
319.72,2050.73,144.61,-4.29,-6.41,-24.06,569.34,99.04,567.07,91.50,49.91,84.35
319.68,2050.84,144.23,-4.51,-6.51,-24.42,564.01,99.57,570.49,91.50,49.91,84.35
319.64,2050.94,143.85,-4.93,-6.66,-24.96,560.14,98.98,570.45,91.50,49.91,84.35
319.58,2051.04,143.45,-5.46,-6.44,-25.44,562.59,98.47,573.82,91.50,49.91,84.35
319.52,2051.15,143.05,-5.77,-6.29,-26.13,562.82,95.12,569.10,91.50,49.91,84.35
319.45,2051.26,142.64,-6.60,-6.14,-26.53,562.36,95.27,566.43,91.50,49.91,84.35
319.36,2051.37,142.21,-7.50,-6.00,-27.24,550.50,94.10,576.60,91.50,49.91,84.35
