X,Y,X,
283,1996,-122
319,1945,-164
458,1798,-311
567,1961,-168
888,2172,-170
928,3019,-8
1192,3174,-550
895,3095,-771
425,3158,-561
-62,3038,-513
-369,2513,-556
-338,2052,-352
-243,2020,-202
-32,1979,-199
350,2188,-174
463,2259,-298
248,2180,-132
177,2049,-22
255,2210,309
408,2096,340
423,1701,182
218,1432,359
297,1406,367
262,1327,394
94,1190,366
-37,1046,387
36,940,477
243,944,630
367,1142,764
496,1707,870
730,2609,779
435,3075,17
104,3318,805
500,2743,1587
364,2240,1562
51,2591,439
-80,3174,44
-751,2372,344
-70,2122,407
364,1437,-31
321,1235,26
387,1743,-163
334,2062,-434
80,2101,87
-93,2031,474
9,2024,437
101,1760,202
190,1775,73
196,1891,87
335,2026,130
345,1847,157
257,1675,175
309,1723,93
399,1866,44
413,1834,71
410,1788,123
418,1799,137
515,1796,81
548,1842,-21
489,1920,-174
165,2003,-184
339,1975,-320
583,2007,-281
510,2169,-16
724,2556,-303
829,3143,-89
934,3036,-442
754,2845,-527
549,2539,-602
-66,2345,-640
-425,2354,-411
-303,2140,-219
-112,2079,-243
351,2397,-87
632,2565,-114
565,2199,-156
321,2056,99
362,2071,252
512,1952,331
287,1440,205
366,1320,249
448,1284,344
212,1131,280
109,1030,297
53,1021,323
73,1001,393
264,1009,416
246,1429,491
116,2196,732
436,2765,610
110,3103,-334
162,3641,986
771,2796,1544
744,1270,1331
1040,1687,1249
585,2458,331
-216,2340,104
-545,1902,330
-108,2189,386
468,3049,257
235,2262,-22
-127,1477,-531
-185,1275,-109
154,1958,486
447,2639,916
610,2200,487
651,1530,181
710,1544,-173
692,1861,-103
594,1801,88
200,1642,209
307,1625,-48
383,1778,-3
353,1798,-38
240,1747,-100
165,1782,-58
167,1828,39
241,1952,119
413,2090,-161
498,2064,-333
512,2088,-289
735,2237,-311
548,2380,58
446,2470,29
684,2837,-322
681,3051,-209
653,2771,-372
539,2409,-576
37,2178,-570
-359,2189,-546
-424,2339,-22
-122,2287,-169
454,2637,40
882,2607,-146
737,2362,-253
474,2140,110
531,2161,275
598,1950,271
415,1750,295
323,1401,178
344,1243,414
273,1147,377
179,1004,379
85,930,330
