E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
272.86,1980.58,202.38,10.58,-30.90,-46.88,82933.26,336393.32,165734.38,1638.55,2355.38,2107.23
273.04,1980.19,201.67,9.88,-36.72,-45.40,82950.07,344753.60,166549.47,1638.55,2355.38,2107.23
273.22,1979.83,201.00,9.45,-34.77,-43.21,82982.27,342656.84,167955.64,1638.55,2355.38,2107.23
273.40,1979.73,200.42,9.61,-18.95,-36.92,82922.90,335459.97,173207.36,1638.55,2355.38,2107.23
273.70,1980.05,199.91,16.71,7.59,-32.93,81624.75,333567.95,176054.69,1638.55,2337.46,2107.23
274.01,1980.90,199.21,17.55,40.53,-44.90,81254.33,336812.06,177606.00,1638.55,2337.46,2107.23
274.29,1982.41,198.61,16.00,81.17,-38.74,81526.53,359390.37,185799.31,1638.55,2602.05,2107.23
274.67,1984.30,198.21,21.93,105.13,-26.15,84751.76,355633.30,210618.47,1638.55,2602.05,2136.07
275.11,1986.05,197.93,25.37,96.55,-18.67,86903.05,365232.98,224208.80,1638.55,2602.05,2136.07
275.61,1987.54,197.77,29.71,80.64,-11.16,91799.76,361768.48,236235.58,1737.98,2602.05,2136.07
276.15,1988.86,197.69,31.52,69.68,-6.18,92461.25,345813.94,235797.43,1737.98,2602.05,2136.07
276.60,1989.92,197.44,26.08,53.34,-16.88,96555.80,319995.56,230750.46,1737.98,2602.05,2136.07
276.78,1990.76,196.89,9.57,39.37,-35.96,107335.80,311804.66,202386.74,1737.98,2602.05,2136.07
276.84,1991.57,196.05,2.13,37.76,-53.50,109738.48,311197.85,175543.48,1737.98,2602.05,2136.07
277.00,1992.47,195.18,8.48,44.01,-55.47,109368.42,320928.93,174960.99,1737.98,2602.05,2136.07
277.24,1993.14,194.30,13.16,29.09,-55.63,107369.72,300948.52,175019.29,1737.98,2602.05,2136.07
277.63,1993.58,193.23,22.52,14.67,-68.23,93785.88,304064.93,182002.83,1567.64,2602.05,2136.07
277.99,1993.80,192.04,20.37,1.21,-75.10,95557.00,312552.43,182325.57,1567.64,2602.05,2136.07
278.29,1994.15,191.00,16.79,9.00,-65.99,95715.10,307738.14,183313.05,1567.64,2602.05,2136.07
278.61,1994.84,190.20,18.44,30.25,-51.28,96050.36,304207.68,191613.15,1567.64,2602.05,2136.07
278.98,1995.63,189.57,21.55,36.60,-40.49,97358.70,303418.78,190786.91,1567.64,2602.05,2136.07
279.43,1996.28,189.10,26.05,27.65,-30.41,99133.84,307598.81,184107.65,1567.64,2602.05,2136.07
280.03,1996.78,188.57,35.30,18.44,-33.95,100809.71,311190.26,185852.57,1567.64,2602.05,2136.07
280.81,1997.22,187.91,46.79,15.34,-42.30,100449.01,311593.47,186044.20,1567.64,2602.05,2136.07
281.72,1997.61,187.18,55.02,11.47,-47.02,100053.72,312320.09,185368.55,1567.64,2602.05,2136.07
282.64,1997.96,186.46,55.64,9.27,-46.19,99831.83,313628.20,185396.85,1567.64,2602.05,2136.07
