E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
456.61,1879.34,461.85,42.26,-0.23,117.25,266101.54,926520.50,448061.71,2590.26,6094.00,3235.73
457.23,1879.66,463.59,35.46,7.99,105.68,262764.67,928611.30,437699.89,2590.26,6094.00,3235.73
457.73,1879.73,465.07,28.43,-7.05,89.61,258948.72,933374.52,431441.28,2590.26,6094.00,3235.73
458.14,1879.54,466.32,22.70,-24.18,74.37,256344.36,937802.26,432173.51,2590.26,6094.00,3235.73
458.52,1879.16,467.41,20.45,-35.61,65.37,256180.01,939808.61,434638.03,2590.26,6094.00,3235.73
458.91,1878.52,468.41,21.61,-51.29,59.04,255810.36,948749.80,437796.56,2590.26,6094.00,3235.73
459.45,1877.68,469.21,30.65,-64.38,46.95,252201.74,958802.04,441378.97,2590.26,6094.00,3235.73
460.15,1876.75,469.87,41.08,-69.66,38.27,248443.83,958129.69,439336.06,2590.26,6094.00,3235.73
460.74,1875.73,470.55,33.56,-75.50,39.28,255354.44,955184.91,439761.92,2590.26,6094.00,3235.73
461.14,1874.77,471.37,21.72,-71.60,48.22,261692.56,957521.59,446641.16,2590.26,6094.00,3235.73
461.36,1874.11,472.41,11.34,-53.26,61.84,267764.21,973368.40,460493.95,2590.26,6094.00,3235.73
461.56,1873.48,473.63,9.22,-51.06,72.56,268004.98,972788.29,467722.34,2590.26,6094.00,3235.73
461.63,1872.82,475.10,1.54,-52.70,88.90,270047.66,973767.31,482068.84,2590.26,6094.00,3235.73
461.67,1872.33,476.88,-0.53,-42.40,107.70,271618.77,974831.71,491334.66,2590.26,6094.00,3235.73
461.79,1871.95,479.11,4.55,-35.85,135.94,266729.65,971505.34,498360.06,2590.26,6094.00,3235.73
462.02,1871.58,481.76,11.22,-34.66,161.85,263870.70,970928.80,504628.26,2590.26,6094.00,3235.73
462.37,1871.31,484.84,19.08,-28.79,189.24,266602.24,968052.92,489990.30,2590.26,6094.00,3235.73
462.89,1871.25,488.31,29.75,-15.38,212.79,272310.01,965039.36,464098.40,2590.26,6094.00,3157.61
463.50,1871.25,492.05,34.60,-12.23,230.01,272566.15,965011.11,455885.41,2590.26,6094.00,3157.61
464.10,1870.56,495.62,34.48,-54.33,219.53,272643.40,859036.66,447642.00,2590.26,6094.00,3157.61
464.41,1869.29,499.17,16.31,-91.20,217.74,269837.48,752318.54,448455.56,2590.26,6094.00,3157.61
464.46,1868.08,502.72,0.48,-87.22,217.77,266734.56,749673.59,448427.61,2590.26,6094.00,3157.61
464.14,1866.92,506.15,-23.03,-83.94,210.48,262465.04,742671.92,457286.44,2590.26,6094.00,3157.61
463.38,1865.69,509.30,-50.12,-88.50,193.43,260963.79,746932.90,479795.00,2632.72,6094.00,3157.61
462.34,1864.37,512.36,-67.93,-93.98,187.23,268133.04,746181.66,486269.31,2632.72,6094.00,3157.61
461.30,1862.78,515.21,-67.57,-111.12,174.21,268330.03,725792.40,493230.92,2632.72,6094.00,3157.61
460.09,1861.34,517.65,-78.42,-101.43,148.71,260895.02,741899.28,507698.64,2632.72,6094.00,3157.61
459.07,1861.53,520.48,-66.58,-0.01,172.85,292838.40,1361720.06,557850.54,2632.72,8236.10,3157.61
458.22,1861.64,522.96,-55.76,-4.66,151.37,314007.32,1366990.43,583233.96,2632.72,8733.99,3249.54
457.43,1861.36,525.37,-52.04,-29.10,146.99,316515.99,1449335.24,584254.22,2632.72,8733.99,3249.54
456.75,1860.92,527.66,-45.06,-39.22,138.98,322343.15,1470134.88,589084.03,2632.72,8733.99,3249.54
456.19,1860.63,529.88,-37.89,-29.99,134.94,325961.49,1465853.81,592984.05,2632.72,8733.99,3249.54
455.88,1860.92,532.04,-21.90,6.05,131.63,332938.35,1523031.98,598421.99,2632.72,8733.99,3249.54
455.67,1861.76,534.57,-16.37,40.97,153.73,330877.29,1564765.16,588011.41,2632.72,8733.99,3249.54
455.55,1862.79,537.37,-10.28,52.13,171.16,329199.35,1554858.68,571457.59,2632.72,8733.99,3249.54
455.64,1863.97,540.30,2.81,61.70,179.11,338134.10,1546244.96,566439.75,2632.72,8733.99,3249.54
455.93,1865.17,543.19,14.84,63.17,176.52,348536.54,1545914.76,566413.55,2632.72,8733.99,3249.54
456.49,1866.40,546.00,32.26,64.71,171.66,354598.09,1544964.10,566375.91,2632.72,8733.99,3249.54
457.32,1867.54,548.57,48.79,58.85,156.97,361928.83,1546020.85,561231.91,2632.72,8733.99,3249.54
458.47,1868.36,550.71,69.06,39.78,129.94,354881.62,1539365.89,546511.10,2632.72,8733.99,3249.54
459.68,1868.74,552.30,72.21,11.83,95.02,353250.57,1531263.27,545761.53,2632.72,8733.99,3249.54
460.96,1868.82,553.16,76.79,-7.07,50.05,346816.34,1535852.15,539480.11,2632.72,8733.99,3430.05
462.27,1868.67,553.43,78.73,-21.26,13.75,343523.96,1545917.14,529842.39,2632.72,8733.99,3430.05
463.62,1868.48,553.31,81.32,-23.57,-11.15,340631.26,1548656.90,512054.10,2632.72,8733.99,3430.05
464.95,1868.43,553.00,80.03,-14.92,-22.58,340537.63,1541596.91,502494.59,2632.72,8733.99,3430.05
466.10,1868.44,552.48,68.46,-10.94,-36.20,336379.24,1538768.14,495119.24,2632.72,8733.99,3430.05
466.96,1868.39,551.76,50.73,-15.11,-48.00,335859.72,1539798.34,486009.30,2632.72,8733.99,3430.05
467.57,1868.20,550.87,34.98,-23.67,-59.38,337405.11,1534897.90,474852.76,2632.72,8733.99,3430.05
468.09,1867.97,549.98,29.29,-26.33,-58.59,340248.68,1532436.10,475387.05,2632.72,8733.99,3430.05
468.63,1867.68,549.30,30.82,-29.99,-46.30,338714.96,1530313.19,486001.34,2632.72,8733.99,3430.05
469.15,1867.26,548.78,29.35,-37.65,-35.28,340768.86,1531038.54,494909.87,2632.72,8733.99,3430.05
469.71,1866.89,548.54,32.10,-35.34,-18.70,337395.06,1529467.48,504382.91,2632.72,8733.99,3430.05
470.38,1866.84,548.69,38.27,-14.91,6.12,332259.82,1506492.27,508040.45,2632.72,8733.99,3430.05
471.17,1867.23,549.21,46.70,12.91,28.79,331090.04,1452180.53,509674.44,2632.72,8733.99,3430.05
472.16,1868.08,550.12,58.64,40.84,52.99,332184.57,1389682.33,505119.49,2632.72,8733.99,3430.05
473.41,1869.17,551.29,74.73,56.08,69.60,328991.89,1379284.65,500116.25,2632.72,8733.99,3430.05
474.71,1870.17,552.63,78.21,50.80,80.18,329291.47,1373287.51,497971.90,2632.72,8733.99,3430.05
475.79,1871.20,554.17,64.19,52.16,92.42,326528.28,1374955.68,490123.73,2632.72,8733.99,3430.05
476.85,1871.82,555.69,62.88,26.54,90.89,327797.04,1323139.29,491078.87,2632.72,8733.99,3430.05
477.35,1871.30,556.52,28.21,-44.33,48.15,286050.26,1061007.60,431560.79,2531.41,8733.99,3268.65
477.44,1870.59,557.40,2.25,-55.95,51.44,280249.06,1084057.61,425187.51,2531.41,8733.99,3268.65
477.17,1869.69,558.06,-19.59,-67.75,37.50,286645.70,1117411.07,438075.10,2531.41,8733.99,3268.65
476.55,1868.59,558.59,-41.61,-80.40,29.35,297830.92,1135833.49,445277.47,2645.02,8733.99,3268.65
